№	Текущее состояние	Событие	Условие	Следующее состояние
1	Off	Нажата кнопка POWER	Есть вода и зерна	Ready
2	Off	Нажата кнопка POWER	Нет воды ИЛИ нет зерен	Error
3	Off	Долгое нажатие POWER (3 сек)	Всегда	Off
4	Ready	Нажата кнопка START	Всегда	Brewing
5	Ready	Закончилась вода	-	Error
6	Ready	Закончились зерна	-	Error
7	Ready	Долгое нажатие POWER (3 сек)	Всегда	Off
8	Brewing	Прошло 2 минуты	-	Ready
9	Brewing	Закончилась вода	-	Error
10	Brewing	Закончились зерна	-	Error
11	Brewing	Долгое нажатие POWER (3 сек)	Всегда	Off
12	Error	Долита вода И добавлены зерна	-	Ready
13	Error	Долгое нажатие POWER (3 сек)	Всегда	Off
14	Error	Обычное нажатие POWER	Всегда	Off
